제품코드,제품명,제품명(짧은),보관창고,생산일자,보관상태,재고,유통기한(%),대분류,중분류
2158,ПЕЧЕНЬЕ ПРОСЛОЕННОЕ ГЛАЗИРОВАННОЕ «ЛОТТЕ ЧОКЛЭТ ПАЙ» «LOTTE,"ЛОТТЕ ЧОКЛЭТ ПАЙ"" СО ВКУСОМ СЫРА, 12шт",LProduct,12092026,Good,111,80.82,PIE,Chocopie
114,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКОПАЙ"" (Lotte Cho",ЧокоПай4(печеньепрослоенноеглазированное)пачка112г,LProduct,25102026,Good,83,92.6,PIE,Chocopie
1690,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКЛЭТ ПАЙ СО ВКУС",ЛОТТЕ ЧОКЛЭТ ПАЙ СО ВКУСОМ КЛУБНИКИ (28г х 12шт),LProduct,27012026,Good,83,18.36,PIE,Chocopie
2105,Карамель с ореховой начинкой с ароматом ванили переслоенной,Карамель «Лотте Стаккато ЛЯ» 1 кг,LProduct,15072026,Good,78,87.41,Candy,LotteCar
19,"Соломка с шоколадом ""Пеперо Классический""(Pepero Original),4",ПепероОригинал конд,LProduct,10082026,Good,75,71.78,Chocolate,Pepero
113,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКОПАЙ"" (Lotte Cho",ЧокоПай6(печеньепрослоенноеглазированное)пачка168г,LProduct,31102026,Good,72,94.25,PIE,Chocopie
1681,Печенье прослоенное глазированное «Лотте Чоклэт пай с аромат,ЧокЛэт пай с ароматом банана 6 шт.,LProduct,14072026,Good,70,64.38,PIE,Chocopie
2163,МУЧНОЕ КОНДИТЕРСКОЕ ИЗДЕЛИЕ В ГЛАЗУРИ «ЛОТТЕ ЗЕРО ЧОКОПАЙ» (,МУЧНОЕ КОНДИТЕРСКОЕ ИЗДЕЛИЕ В ГЛАЗУРИ 336гр «ЛОТТЕ ЗЕРО ЧОК,LProduct,31102026,Good,63,94.25,PIE,Chocopie
2105,Карамель с ореховой начинкой с ароматом ванили переслоенной,Карамель «Лотте Стаккато ЛЯ» 1 кг,LProduct,12072026,Good,60,86.3,Candy,LotteCar
1673,Печенье прослоенное глазированное «ЛОТТЕ ЧОКЛЭТ ПАЙ»(LOTTE C,ЧокоЛЭТПАЙ 12 шт Печеньепрослоенноеглазированное пачка336г,LProduct,30052026,Good,59,52.05,PIE,Chocopie
65,"Напиток кофейный безалкогольный негазированный ""Лет'би Морс","""Лет'би Морская Соль ""(Let's be Sea Salt""), 240мл",LProduct,12022026,Good,58,15.37,Beverage,Coffee
2101,Карамель с ореховой начинкой с ароматом сливок переслоенной,Карамель «Лотте Стаккато ДО» 1кг,LProduct,29072026,Good,57,92.59,Candy,LotteCar
114,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКОПАЙ"" (Lotte Cho",ЧокоПай4(печеньепрослоенноеглазированное)пачка112г,LProduct,29102026,Good,54,93.7,PIE,Chocopie
2158,ПЕЧЕНЬЕ ПРОСЛОЕННОЕ ГЛАЗИРОВАННОЕ «ЛОТТЕ ЧОКЛЭТ ПАЙ» «LOTTE,"ЛОТТЕ ЧОКЛЭТ ПАЙ"" СО ВКУСОМ СЫРА, 12шт",LProduct,19082026,Good,47,74.25,PIE,Chocopie
77,Соломка в глазури с воздушной кукурузой «Пеперо Кранки» (Pep,"«Пеперо Кранки»,39г",LProduct,1092026,Good,45,77.81,Chocolate,Pepero
112,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКОПАЙ"" (Lotte Cho",ЧокоПай12(печеньепрослоенноеглазированное)пачка336г,LProduct,10112026,Good,42,96.99,PIE,Chocopie
2140,"Мучное кондитерское изделие в глазури ""ЛОТТЕ ЧОКЛЭТ ПАЙ"" (L","Мучное кондитерское изделие в глазури ""ЛОТТЕ ЧОКЛЭТ ПАЙ"" 1",LProduct,8102026,Good,42,87.95,PIE,Chocopie
113,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКОПАЙ"" (Lotte Cho",ЧокоПай6(печеньепрослоенноеглазированное)пачка168г,LProduct,17112026,Good,41,98.9,PIE,Chocopie
112,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКОПАЙ"" (Lotte Cho",ЧокоПай12(печеньепрослоенноеглазированное)пачка336г,LProduct,26102026,Good,39,92.88,PIE,Chocopie
112,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКОПАЙ"" (Lotte Cho",ЧокоПай12(печеньепрослоенноеглазированное)пачка336г,LProduct,18112026,Good,34,99.18,PIE,Chocopie
26,"Напиток безалкогольный газированный ""Милкис клубника"" (""Milk","""Милкис клубника"" (""Milkis Strawberry""),250мл",LProduct,14052027,Good,32,74.86,Beverage,Milkis
75,Соломка в глазури с крошками печенья « Пеперо Чоко Куки » (P,"""Пеперо Чоко Куки"", 32г",LProduct,17082026,Good,32,73.7,Chocolate,Pepero
2106,Карамель с шоколадно-ореховой начинкой с ароматом ванили пер,Карамель «Лотте Стаккато СИ» 1 кг,LProduct,2082026,Good,30,94.07,Candy,LotteCar
2154,ПЕЧЕНЬЕ ПРОСЛОЕННОЕ ГЛАЗИРОВАННОЕ «ЛОТТЕ ЧОКОПАЙ» «LOTTE CHO,ЛОТТЕ ЧОКОПАЙ СО ВКУСОМ СЫРА 12шт,LProduct,1072026,Good,28,60.82,PIE,Chocopie
2101,Карамель с ореховой начинкой с ароматом сливок переслоенной,Карамель «Лотте Стаккато ДО» 1кг,LProduct,28072026,Good,27,92.22,Candy,LotteCar
114,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКОПАЙ"" (Lotte Cho",ЧокоПай4(печеньепрослоенноеглазированное)пачка112г,LProduct,4112026,Good,24,95.34,PIE,Chocopie
62,"Напиток безалкогольный негазированный ""Сквиз персик"" (Squeez","""Сквиз персик"" (Squeeze Peach) 240мл",LProduct,15072026,Good,23,32.78,Beverage,Squeeze
36,"Напиток кофейный безалкогольный негазированный ""Лет'с Би Ар","""Лет'с Би Арабика"" (Let's Be Arabica),235мл",LProduct,1012026,Good,22,7.59,Beverage,Coffee
112,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКОПАЙ"" (Lotte Cho",ЧокоПай12(печеньепрослоенноеглазированное)пачка336г,LProduct,10082026,Good,21,71.78,PIE,Chocopie
27,"Напиток безалкогольный газированный ""Милкис"" (""Milkis""), 250","""Милкис"" (""Milkis""), 250мл",LProduct,18062027,Good,15,79.72,Beverage,Milkis
1675,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКОПАЙ КАКАО"" (Lot",ЧокопайКАКАО 6 шт Печеньепрослоенноеглазированное пачка168г,LProduct,10112026,Good,10,96.99,PIE,Chocopie
1679,Печенье прослоенное глазированное «Лотте Чокопай с ароматом,Чокопай БАНАН 6 шт,LProduct,12112026,Good,10,97.53,PIE,Chocopie
1675,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКОПАЙ КАКАО"" (Lot",ЧокопайКАКАО 6 шт Печеньепрослоенноеглазированное пачка168г,LProduct,11072026,Good,9.563,63.56,PIE,Chocopie
20,"Соломка в шоколадной глазури с миндалем ""Альмонд Пеперо""(Alm",ПепероАлмонд(соломкасшоколадом)пачка36г,LProduct,26092026,Good,9,84.66,Chocolate,Pepero
2154,ПЕЧЕНЬЕ ПРОСЛОЕННОЕ ГЛАЗИРОВАННОЕ «ЛОТТЕ ЧОКОПАЙ» «LOTTE CHO,ЛОТТЕ ЧОКОПАЙ СО ВКУСОМ СЫРА 12шт,LProduct,13092026,Good,9,81.1,PIE,Chocopie
19,"Соломка с шоколадом ""Пеперо Классический""(Pepero Original),4",ПепероОригинал конд,LProduct,24112025,Good,8,0.82,Chocolate,Pepero
